boutique_name,ranking
Stuarts Apparel,1
Sierra Trading Post - Multi Store,2
Neiman Marcus - Multi Store,3
Julian Gold San Antonio,4
Devon's Boutique,5
I. C. London,6
Underwraps,7
B. Real Women's Apparel,8
Gaia,9
Luna Boutique (Closed),10
Stein Mart,11
The Garden Room,12
French Cuff Boutique - Woodway,13
Bill Paul Limited,14
Over the Top,15
Excellence,16
Parker Panache,17
Wil Stiles,18
Mariel,19
Sylene of Washington,20
Bellagio Art to Wear,21
Lindisima,22
Inverness Golf Shop,23
Harriet's San Francisco,24
